X : 33, Y : 19, G : 3484, H : 1300, F : 4784
X : 35, Y : 20, G : 3584, H : 1200, F : 4784
X : 29, Y : 12, G : 2597, H : 2200, F : 4797
X : 28, Y : 13, G : 2597, H : 2200, F : 4797
X : 32, Y : 13, G : 3020, H : 1800, F : 4820
X : 29, Y : 16, G : 3020, H : 1800, F : 4820
X : 31, Y : 13, G : 2920, H : 1900, F : 4820
X : 29, Y : 15, G : 2920, H : 1900, F : 4820
X : 32, Y : 19, G : 3443, H : 1400, F : 4843
X : 35, Y : 15, G : 3543, H : 1300, F : 4843
X : 35, Y : 14, G : 3443, H : 1400, F : 4843
X : 28, Y : 11, G : 2456, H : 2400, F : 4856
X : 27, Y : 12, G : 2456, H : 2400, F : 4856
X : 31, Y : 12, G : 2879, H : 2000, F : 4879
X : 28, Y : 15, G : 2879, H : 2000, F : 4879
X : 28, Y : 14, G : 2779, H : 2100, F : 4879
X : 30, Y : 12, G : 2779, H : 2100, F : 4879
X : 29, Y : 18, G : 3302, H : 1600, F : 4902
X : 34, Y : 13, G : 3302, H : 1600, F : 4902
X : 34, Y : 14, G : 3402, H : 1500, F : 4902
X : 30, Y : 18, G : 3402, H : 1500, F : 4902
X : 26, Y : 11, G : 2315, H : 2600, F : 4915
X : 27, Y : 10, G : 2315, H : 2600, F : 4915
X : 34, Y : 20, G : 3625, H : 1300, F : 4925
X : 30, Y : 11, G : 2738, H : 2200, F : 4938
X : 27, Y : 14, G : 2738, H : 2200, F : 4938
X : 29, Y : 11, G : 2638, H : 2300, F : 4938
X : 27, Y : 13, G : 2638, H : 2300, F : 4938
X : 33, Y : 13, G : 3261, H : 1700, F : 4961
X : 33, Y : 12, G : 3161, H : 1800, F : 4961
X : 28, Y : 17, G : 3161, H : 1800, F : 4961
X : 29, Y : 17, G : 3261, H : 1700, F : 4961
X : 25, Y : 10, G : 2174, H : 2800, F : 4974
X : 26, Y : 9, G : 2174, H : 2800, F : 4974
X : 33, Y : 20, G : 3584, H : 1400, F : 4984
X : 31, Y : 19, G : 3484, H : 1500, F : 4984
X : 35, Y : 21, G : 3684, H : 1300, F : 4984
X : 26, Y : 13, G : 2597, H : 2400, F : 4997
X : 29, Y : 10, G : 2597, H : 2400, F : 4997
X : 26, Y : 12, G : 2497, H : 2500, F : 4997
X : 28, Y : 10, G : 2497, H : 2500, F : 4997
X : 32, Y : 12, G : 3120, H : 1900, F : 5020
X : 27, Y : 16, G : 3020, H : 2000, F : 5020
X : 28, Y : 16, G : 3120, H : 1900, F : 5020
X : 32, Y : 11, G : 3020, H : 2000, F : 5020
X : 25, Y : 8, G : 2033, H : 3000, F : 5033
X : 24, Y : 9, G : 2033, H : 3000, F : 5033
X : 35, Y : 12, G : 3443, H : 1600, F : 5043
X : 30, Y : 19, G : 3443, H : 1600, F : 5043
X : 35, Y : 13, G : 3543, H : 1500, F : 5043
X : 28, Y : 9, G : 2456, H : 2600, F : 5056
X : 25, Y : 12, G : 2456, H : 2600, F : 5056
X : 27, Y : 9, G : 2356, H : 2700, F : 5056
X : 7, Y : 3, G : 0, H : 3200, F : 3200
X : 8, Y : 4, G : 141, H : 3000, F : 3141
X : 9, Y : 5, G : 282, H : 2800, F : 3082
X : 10, Y : 6, G : 423, H : 2600, F : 3023
X : 11, Y : 7, G : 564, H : 2400, F : 2964
X : 12, Y : 8, G : 705, H : 2200, F : 2905
X : 12, Y : 9, G : 805, H : 2100, F : 2905
